LANGUAGE_KEY;ENG
Left scaphoid;Left scaphoid
Right triquetral;Right triquetral
Left triquetral;Left triquetral
Distal phalanx of right thumb;Distal phalanx of right thumb
Distal phalanx of left thumb;Distal phalanx of left thumb
Middle phalanx of right index finger;Middle phalanx of right index finger
Middle phalanx of left index finger;Middle phalanx of left index finger
Middle phalanx of right ring finger;Middle phalanx of right ring finger
Middle phalanx of left ring finger;Middle phalanx of left ring finger
Proximal phalanx of right little finger;Proximal phalanx of right little finger
Proximal phalanx of left little finger;Proximal phalanx of left little finger
Right hamate proper;Right hamate proper
Left hamate proper;Left hamate proper
Middle phalanx of right middle finger;Middle phalanx of right middle finger
Middle phalanx of left middle finger;Middle phalanx of left middle finger
Proximal phalanx of right thumb;Proximal phalanx of right thumb
Proximal phalanx of left thumb;Proximal phalanx of left thumb
Proximal phalanx of right index finger;Proximal phalanx of right index finger
Proximal phalanx of left index finger;Proximal phalanx of left index finger
Proximal phalanx of right ring finger;Proximal phalanx of right ring finger
Proximal phalanx of left ring finger;Proximal phalanx of left ring finger
Proximal phalanx of right middle finger;Proximal phalanx of right middle finger
Proximal phalanx of left middle finger;Proximal phalanx of left middle finger
Right fourth metacarpal bone;Right fourth metacarpal bone
Left fourth metacarpal bone;Left fourth metacarpal bone
Right trapezium proper;Right trapezium proper
Left trapezium proper;Left trapezium proper
Right fifth metacarpal bone;Right fifth metacarpal bone
Left fifth metacarpal bone;Left fifth metacarpal bone
Right first metacarpal bone;Right first metacarpal bone
Left first metacarpal bone;Left first metacarpal bone
Right third metacarpal bone;Right third metacarpal bone
Left third metacarpal bone;Left third metacarpal bone
Right second metacarpal bone;Right second metacarpal bone
Left second metacarpal bone;Left second metacarpal bone
Right radius;Right radius
Left radius;Left radius
Right ulna;Right ulna
Left ulna;Left ulna
Fifth sacral vertebra;Fifth sacral vertebra
Third sacral vertebra;Third sacral vertebra
First sacral vertebra;First sacral vertebra
Second sacral vertebra;Second sacral vertebra
Fourth sacral vertebra;Fourth sacral vertebra
Fifth lumbar vertebra;Fifth lumbar vertebra
Body of fifth lumbar vertebra;Body of fifth lumbar vertebra
Fourth lumbar vertebra;Fourth lumbar vertebra
Body of fourth lumbar vertebra;Body of fourth lumbar vertebra
Third lumbar vertebra;Third lumbar vertebra
Body of third lumbar vertebra;Body of third lumbar vertebra
Second lumbar vertebra;Second lumbar vertebra
Body of second lumbar vertebra;Body of second lumbar vertebra
First lumbar vertebra;First lumbar vertebra
Body of first lumbar vertebra;Body of first lumbar vertebra
Eleventh thoracic vertebra;Eleventh thoracic vertebra
Body of twelfth thoracic vertebra;Body of twelfth thoracic vertebra
Twelfth thoracic vertebra;Twelfth thoracic vertebra
Tenth thoracic vertebra;Tenth thoracic vertebra
Body of tenth thoracic vertebra;Body of tenth thoracic vertebra
Body of eleventh thoracic vertebra;Body of eleventh thoracic vertebra
Right hip bone;Right hip bone
Left scapula;Left scapula
Left hip bone;Left hip bone
Right lacrimal bone;Right lacrimal bone
Right maxillary tuberosity;Right maxillary tuberosity
Right scapula;Right scapula
